Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,6392,501,,7,4,2,1,,,,,,,,,,,,1,"Mauriello, Joseph A","Goetsch, Wesley H",,,,
ACN,6312,001,,5,2,3,,2,,,,,,,,,,,1,"Fearon, Danielle","Behboudi, Mohammad Hossein",,,,
ACN,6312,004,,14,6,2,,1,,,,,,,1,,,,,"Fearon, Danielle","Latteri, Christopher W",,,,
ACN,6330,0W1,,31,,,,,,2,,,,,,,,,,"Hooge, Kimberley D",,,,,
ACN,6338,001,,16,,,2,,,1,,,,,1,,,,2,"Sultana, Rukhsana",,,,,
ACN,6340,001,,4,3,,,2,,1,,,,,3,,,,3,"Kroener, Sven",,,,,
ACN,6341,0W1,,19,2,,,,,,,,,,1,,,,1,"Orrick, Erika D",,,,,
ACN,6345,001,,8,1,3,2,,,1,,,,,,,,,1,"Rodriguez, Christa M",,,,,
ACN,6346,001,,16,3,2,2,,,1,,,,,1,,,,1,"Thompson, Lucien T",,,,,
ACN,6372,001,,5,4,4,,5,,,,,,,,,,,1,"Sadler, Katelyn E",,,,,
ACN,6373,0W1,,28,,1,1,,,,,,,,1,,,,,"Jaquez, Kathryn M",,,,,
ACN,6388,001,,4,,1,1,,1,,,,,,1,,,,2,"Kilgard, Michael P",,,,,
ACN,6395,001,,7,,,9,,,7,,,,,3,,,,1,"Wig, Gagandeep S",,,,,
ACN,7372,001,,9,,,,,,,,,,,1,,,,,"Shirazi, Vanessa J",,,,,
ACN,6V72,013,,,,,,,,,,,,,,,,,,"Golden, Richard M",,,,,
ACTS,4303,001,8,,1,,,1,1,2,3,1,1,,1,,,,,"Makhijani, Neha","Liu, Jingzhou",,,,
ACTS,4304,001,,2,1,1,3,2,5,3,,,1,1,,,,,,"Humphreys, Natalia","Xu, Xiufeng",,,,
ACTS,4307,001,5,3,4,4,2,,,,,,,,1,,,,,"Hong, Liang","Yang, Haopeng",,,,
ACTS,4308,001,7,1,,2,3,2,1,1,1,,,2,10,,,,2,"Makhijani, Neha","Yang, Haopeng",,,,
ACTS,4309,001,1,2,,2,3,2,1,4,1,,1,,,,,,,"Humphreys, Natalia","Xu, Xiufeng",,,,
AHST,1304,001,20,21,22,10,10,8,4,6,3,2,,2,3,,,,3,"McDonald, Jacquelyn D","Baigmoradi, Fatemeh",,,,
AHST,1304,002,49,24,16,6,3,4,3,2,3,,,2,2,,,,,"McDonald, Jacquelyn D","Cai, Rebecca",,,,
AHST,2331,001,54,23,29,11,11,7,2,3,3,5,2,3,9,,,,4,"Alibhai, AliAsgar H","Barnes, Claudia","Vega Mora, Brenda G","Zhang, Shengxin","Okwulogu, Maureen",
AHST,2331,HN1,13,7,3,2,,,,,,,,,,,,,,"Hofland, Amy",,,,,
AHST,3313,001,12,9,8,,1,1,,1,1,,,,2,,,,1,"Alibhai, AliAsgar H","Esmail, Fatima N",,,,
AHST,3324,501,2,19,7,8,7,,,,,,,,,,,,,"Waligore, Marilyn",,,,,
AHST,4342,001,1,2,2,2,2,,,,1,,,,1,,,,,"Terranova, Charissa N",,,,,
AHTC,1100,001,13,7,1,3,6,,,2,2,,,,5,,,,,"Roberts, Jazzmyn C",,,,,
AHTC,1100,002,20,4,2,2,2,,,,,1,1,,4,,,,,"Lara, Cynthia C",,,,,
AHTC,1100,003,28,3,,,1,,,,2,,,,5,,,,,"Crabtree, Jacob D",,,,,
AHTC,1100,004,,24,,,1,,,9,,,,,4,,,,,"Hasan, Nasreen",,,,,
AHTC,1100,005,18,1,6,4,1,3,1,,4,,,,1,,,,,"Henderson, Kelley A",,,,,
AHTC,1100,0L1,14,9,1,1,,1,1,,,1,,,,,,,,"Lara, Cynthia C",,,,,
AHTC,1100,0L2,13,1,7,1,2,1,,,,1,1,,1,,,,,"Henderson, Kelley A",,,,,
AHTC,1100,0L3,19,4,,1,2,,4,1,,,1,,6,,,,,"Roberts, Jazzmyn C",,,,,
AMS,2300,001,,3,9,2,1,,,,2,,,,,,,,,"Lusk, Marc L",,,,,
AMS,2300,002,3,2,4,6,1,,,,1,,,,2,,,,,"Lusk, Marc L",,,,,
AMS,2341,001,,8,7,10,30,3,,1,,,,,10,,,,,"Naqvi, Syed K",,,,,
AMS,2341,HN1,,9,5,3,1,,1,,,,,,,,,,,"Smith, Erin",,,,,
AMS,2341,HN2,,19,6,,,,,,,,,,,,,,,"Naqvi, Syed K",,,,,
AMS,3316,0W1,12,11,6,5,3,4,1,2,3,,1,,1,,,,,"Winstead, Elizabeth L",,,,,
AMS,4300,5H1,3,8,,,1,2,,,1,,,,,,,,,"Ross, Alyssa N",,,,,
AMS,4305,5H1,,1,2,3,2,3,,,1,,,,,,,,,"Cotton, Scott C",,,,,
AMS,4379,0W1,8,6,3,1,2,1,,,,,1,,3,,1,,,"Winstead, Elizabeth L",,,,,
ANGM,2303,001,15,22,32,8,2,2,,,,,,1,1,,,,,"Grieshaber, Amy","Denner, Grace A","Piantino, Raquel C","Kim, Da Hyun",,
ANGM,2303,002,21,42,25,4,1,1,2,,1,1,,,2,,,,,"Grieshaber, Amy","Piantino, Raquel C","Kim, Da Hyun","Denner, Grace A",,
ANGM,2305,0W1,11,12,9,1,4,7,2,1,1,,,,3,,,,6,"Lim, Fengjie","Cressman, Benjamin I",,,,
ANGM,2309,0W1,27,5,1,3,2,1,2,2,,,,,3,,,,1,"Griffin, Troy","Khamsehnezhad, Mozhdeh",,,,
ANGM,2310,0H1,103,38,37,26,19,5,8,10,4,,3,3,26,,,,6,"Salter, Monika M","Lewis, Timothy M","Wood, Lorin W","Fernandez, Daniel S","De Sagun, Jerrick Jay A","Gutierrez, Joseph W"
ANGM,2315,001,12,23,18,10,11,10,4,3,6,,,,1,,,,1,"Veras de Souza, Christine","Kusupati, Anish C","Clarke, Alissa C",,,
ANGM,2335,001,5,7,6,3,1,,,,,,,,1,,,,,"Marks, David","Wu, Benjamin",,,,
ANGM,2345,001,4,6,3,4,8,,1,1,1,,1,,1,,,,,"Gupta-Fitzgerald, Harold E",,,,,
ANGM,2345,002,4,4,4,,,,,,,1,1,2,2,,,,1,"Marks, David",,,,,
ANGM,2345,003,6,3,3,4,1,2,1,1,,,,1,5,,,,2,"Gupta-Fitzgerald, Harold E",,,,,
ANGM,2345,004,10,4,5,,1,,1,2,,,,2,3,,,,1,"Marks, David",,,,,
ANGM,3305,001,3,5,3,4,4,4,3,1,,,1,,2,,,,,"Doust-Haghighi, Elham",,,,,
ANGM,3305,002,,1,2,5,9,5,1,4,1,,,,,,,,1,"Caldwell, Bryon A","Subochev, Andrei",,,,
ANGM,3306,001,2,,4,1,5,5,1,1,1,,1,1,4,,,,4,"Salter, Monika M",,,,,
ANGM,3306,002,2,3,7,2,1,4,2,2,1,,2,1,2,,,,1,"Boyd, Elizabeth S",,,,,
ANGM,3306,003,3,4,6,2,2,3,2,2,1,,,,2,,,,2,"Boyd, Elizabeth S",,,,,
ANGM,3307,001,1,3,14,5,3,1,1,,1,,,,1,,,,,"McCord, Peter A",,,,,
ANGM,3307,002,1,1,13,8,5,2,,,,,,,,,,,,"McCord, Peter A",,,,,
ANGM,3308,001,,1,2,6,9,2,1,1,,,,,3,,1,,4,"Johnson, Casey A",,,,,
ANGM,3308,002,,3,3,2,4,1,1,1,1,2,,,3,,,,5,"Johnson, Casey A",,,,,
ANGM,3311,001,,2,,2,1,4,2,1,2,2,,1,,,,,2,"Johnson, Casey A",,,,,
ANGM,3311,002,6,4,2,,2,1,1,1,,,1,,,,,,,"Lim, Fengjie",,,,,
ANGM,3312,101,1,5,3,6,3,1,1,,,,,1,,,,,2,"Salter, Monika M",,,,,
ANGM,3315,001,3,4,11,4,1,3,,1,,,,1,1,,,,,"Grieshaber, Amy",,,,,
ANGM,3338,001,16,1,1,2,1,,,,,1,,1,5,,,,,"Griffin, Troy","Chaudhary, Anisha",,,,
ANGM,3338,002,11,5,6,1,1,1,,1,,,,,1,,,,2,"Griffin, Troy",,,,,
ANGM,3365,001,3,10,9,,,1,2,1,1,,,,,,,,1,"Christopher, Timothy V","Schoonover, Richard",,,,
ANGM,3365,002,4,9,12,,2,1,1,,,,,,1,,,,,"Christopher, Timothy V","Schoonover, Richard",,,,
ANGM,3366,001,9,5,7,6,,2,,,,,,,1,,,,,"Irby, Cameron L",,,,,
ANGM,3366,002,6,9,5,2,5,1,,1,,,,,,,,,,"Wu, Hong-An",,,,,
ANGM,3366,003,9,2,5,,,,,,,,,,2,,,,,"Murray, Jack A",,,,,
ANGM,3367,001,7,4,5,4,1,1,1,,,,,,6,,,,,"Murray, Jack A",,,,,
ANGM,3367,002,1,5,5,8,4,,,,1,,1,,2,,,,3,"Lewis, Timothy M","Obuobi, Samra",,,,
ANGM,3368,001,5,3,3,2,2,1,,,,,,,,,,,2,"Lewis, Timothy M",,,,,
ANGM,3368,002,2,2,2,5,2,1,1,1,,1,,,1,,1,,,"Lim, Fengjie",,,,,
ANGM,3369,001,,27,1,1,1,,,,,,,,1,,,,,"Evans, Monica J",,,,,
ANGM,3370,001,5,6,8,5,1,2,1,,,,,,1,,,,1,"Lewis, Timothy M",,,,,
ANGM,3370,002,3,14,2,,,1,,,1,,,,2,,1,,2,"Price, Jeffrey T",,,,,
ANGM,3372,001,4,10,,3,5,,,,,1,,,5,,,,,"Gupta-Fitzgerald, Harold E",,,,,
ANGM,3373,101,9,,,,,,,,,,,,,,,,1,"Marks, David",,,,,
ANGM,4305,001,,,5,3,4,2,2,3,,,,,,,,,,"Caldwell, Bryon A",,,,,
ANGM,4305,002,,2,,3,6,5,1,1,,,,,1,,,,,"McComber, Sean J",,,,,
ANGM,4306,001,3,4,5,3,2,2,4,,1,,,,1,,,,,"Boyd, Elizabeth S",,,,,
ANGM,4309,001,1,3,3,3,3,2,,,1,,,,1,,,,,"McComber, Sean J",,,,,
ANGM,4309,002,5,3,,2,2,1,2,,,,,,1,,,,2,"Gardner, Frederick",,,,,
ANGM,4310,501,,11,14,3,,,,,,,,,,,,,1,"Buxkamper, Adam M",,,,,
ANGM,4313,001,2,2,3,3,2,1,,1,,,1,1,1,,,,1,"Lim, Fengjie",,,,,
ANGM,4317,001,,24,,,,,,,,,,,,,,,2,"Johnson, Casey A",,,,,
ANGM,4317,002,,22,,,,,,,,,,,,,,,,"McCord, Peter A",,,,,
ANGM,4321,001,3,13,5,,,,,,,,,,,,,,,"Boyd, Elizabeth S",,,,,
ANGM,4338,001,,14,5,2,1,3,1,3,,,,,1,,,,,"Farrar, Eric T",,,,,
ANGM,4365,001,5,3,6,,2,1,,,,,,,,,,,2,"Christopher, Timothy V",,,,,
ANGM,4365,002,5,7,2,1,1,,,,,,,,,,,,1,"Christopher, Timothy V",,,,,
ANGM,4367,001,,3,8,8,2,3,,,2,,,2,1,,,,1,"Chandler, Adam W",,,,,
ANGM,4368,001,5,8,6,5,,1,,,,,,1,3,,,,1,"Chandler, Adam W",,,,,
ANGM,4373,001,,1,5,8,2,,2,,,,,1,,,,,,"Caldwell, Bryon A",,,,,
ANGM,4376,001,25,,1,,,,,,,,,,,,,,,"Lewis, Timothy M",,,,,
ANGM,4376,002,21,1,2,,,,,,,,,,,,,,,"Chandler, Adam W",,,,,
ANGM,4379,001,10,1,,,1,3,,,1,,,1,1,,,,,"Price, Jeffrey T",,,,,
ANGM,6312,001,,11,1,1,,1,,,,,,,,,,,,"Griffin, Troy",,,,,
ANGM,6356,001,,10,,,1,,,,,,,,,,,,,"Evans, Monica J",,,,,
ARAB,1311,001,4,3,,3,2,,,,,,,,1,,,,,"Anjum, Zafar",,,,,
ARAB,3351,001,5,8,,3,,,,,,,,,1,,,,,"Anjum, Zafar",,,,,
ARHM,2340,001,11,7,1,,,,,,,,,,,,,,,"Avram, Danielle M",,,,,
ARHM,2343,HN1,4,7,1,,,,,,,,,,,,1,,1,"Gossin, Pamela S",,,,,
ARHM,3342,003,,,,,,,,,,,,,,16,,,,"Gossin, Pamela S",,,,,
ARHM,6310,001,,10,6,3,1,2,,1,,,,,,,,,,"Warren, Shilyh J","Stone, Naomi S",,,,
ARTS,1301,0W1,94,26,4,4,4,1,,1,,1,1,,1,,,,2,"Wilder, James E","Payne, Nicholas A","Khoshniat, Ahmad",,,
ARTS,1316,001,,16,,2,1,,,,,,,,,,,,,"Fridge, Brian D",,,,,
ARTS,1316,002,6,11,1,,,,,,,,,,,,,,1,"Min, Inki A",,,,,
ARTS,1316,003,6,7,1,3,,,,,,,,,,,,,,"Takaloubighash, Maryam",,,,,
ARTS,1316,004,5,6,2,1,1,2,,,,,,,,,,,1,"Jafarpour, Zahra",,,,,
ARTS,1316,501,16,1,,,,1,,,,,,,,,,,,"Miranda, Jeffrey R",,,,,
ARTS,2316,001,5,8,,,,1,1,1,,,,,,,,,,"Akinwole, Oluwadare   (Dare)",,,,,
ARTS,2316,002,5,12,,,,,,,,,,,,,,,,"Song, Haoyi",,,,,
ARTS,2316,501,6,6,1,1,1,,1,,,,,,1,,,,,"Egan, Trey T",,,,,
ARTS,2348,001,4,14,,,,,,,,,,,,,,,,"Williams, Thomas E",,,,,
ARTS,2350,001,,,6,,2,4,,1,1,,,,,,,,,"Miller, Cynthia M",,,,,
ARTS,2350,002,7,1,2,1,1,2,,,,1,,,,,,,2,"Lyon, Tara L",,,,,
ARTS,2380,001,2,6,4,3,,1,,,1,,1,,,,,,,"Egan, Trey T",,,,,
ARTS,2381,001,,9,2,1,,,,,,,,1,,,1,,,"Cochran, Kristen N",,,,,
ARTS,3364,001,2,12,1,,,,,,,,,,,,,,,"Williams, Thomas E",,,,,
ARTS,3366,501,4,5,3,1,,1,,,,,,,,,,,,"Min, Inki A",,,,,
ARTS,3367,001,10,6,2,,,,,,,,,,1,,,,,"Fridge, Brian D",,,,,
ARTS,3367,002,17,3,,,,,,,,,,,,,,,,"Miranda, Jeffrey R",,,,,
ARTS,3368,001,1,8,2,,,,,,,,,,,,,,,"Cochran, Kristen N",,,,,
ARTS,3371,002,2,5,4,1,1,,,,,,1,,,,,,1,"Durant, Stephanie D",,,,,
ARTS,3372,001,,8,1,1,,,,,,,,,,,,,,"Loving, Emily A",,,,,
ARTS,3377,001,1,13,3,1,1,,,,,,,,,,,,,"Waligore, Marilyn",,,,,
ARTS,3379,001,,4,4,3,,1,,,,,,,1,,,,1,"Palmer, Marcy A",,,,,
ARTS,3382,001,,10,1,3,,,1,,,,,,,,,,,"Tady, Lorraine T",,,,,
ARTS,3383,001,10,3,2,,1,1,,,,,1,,,,,,1,"Jaeggli, Erika",,,,,
ARTS,4308,001,3,5,1,3,,1,,,,,,,1,,,,,"Durant, Stephanie D",,,,,
ARTS,4310,101,,6,5,1,,,1,,,1,,,,,,,,"Avram, Danielle M",,,,,
ARTS,4368,002,7,9,,,,,,,,,,,,,,,,"Pomara, John J",,,,,
ATCM,2300,001,,173,16,11,61,3,3,13,2,2,2,1,7,,,,1,"Balsamo, Anne","Cole, Abby","Gowda, Anupama","Winter, Sabine","Pietsch, Samuel R","Han, Jinxiu"
ATCM,2301,001,9,10,4,3,1,1,,,,,,,1,,,,1,"Jaeggli, Erika",,,,,
ATCM,2301,002,15,6,2,2,3,,,,,,,,,,,,1,"Ferreira de Souza, Leticia",,,,,
ATCM,2301,003,,21,,,1,,,2,,,1,,2,,,,,"Loving, Emily A",,,,,
ATCM,2301,004,16,9,1,,1,,,,,,,,2,,,,,"Ferreira de Souza, Leticia",,,,,
ATCM,2301,005,4,3,6,4,6,1,1,3,,1,1,,,,,,,"Marder, Amanda K",,,,,
ATCM,2301,006,9,8,1,2,3,2,1,,1,1,,,2,,,,,"Doust-Haghighi, Elham",,,,,
ATCM,2301,007,13,3,5,4,1,1,2,,,,,,1,,,,,"Jones, Jazmine Q",,,,,
ATCM,2301,501,3,8,6,2,2,2,1,1,3,,,,2,,,,,"Budd, Jessie C",,,,,
ATCM,2301,502,10,3,3,5,1,,,4,,,2,,1,,,,,"Ashkaboosi, Maryam",,,,,
ATCM,2301,0W1,2,2,7,4,2,1,1,,,2,1,,3,,,,1,"Trosper, Elizabeth M","Asgharpour, Hadi","Zamaniderkani, Vajihe",,,
ATCM,2301,0W2,2,6,6,5,3,1,,1,,,,,4,,,,,"Trosper, Elizabeth M","Zamaniderkani, Vajihe","Asgharpour, Hadi",,,
ATCM,2302,001,3,9,1,4,3,3,1,,2,,,,3,,,,1,"Clement, Shonte M",,,,,
ATCM,2302,002,13,6,6,,2,,1,1,1,,,,,,,,,"Ashouri, Shaghayegh",,,,,
ATCM,2302,003,13,3,2,1,3,1,3,1,,,,2,1,,,,,"De Leon, Jennifer M",,,,,
ATCM,2302,004,12,8,2,2,,5,,,,,1,,,,,,,"Gupta, Suvash",,,,,
ATCM,2302,005,4,15,2,4,4,,1,,,,,,,,,,,"Minnish, Roxanne W","Trotter, Caroline G",,,,
ATCM,2302,006,6,14,4,,3,2,,,,,,1,,,,,,"Minnish, Roxanne W","Vahed Khoshknab, Tina",,,,
ATCM,2302,501,9,6,1,2,3,,,5,2,,,1,,,,,,"Ashkaboosi, Maryam",,,,,
ATCM,2302,502,11,5,3,,2,4,,,2,,,,1,,,,,"McClanahan, Sara N",,,,,
ATCM,2302,503,3,2,8,2,4,3,1,,2,,2,,3,,,,,"Barreiro, Isi J",,,,,
ATCM,2302,0H1,7,4,3,5,1,2,1,,,1,1,1,2,,,,,"Barreiro, Isi J",,,,,
ATCM,2320,001,,3,3,2,,1,,1,,,,,,,,,1,"Imaoka, Laura B",,,,,
ATCM,2321,001,4,11,8,2,,,,1,,,,2,,,,,,"Shukla, Nishanshi A",,,,,
ATCM,2322,001,,20,7,13,3,4,3,2,5,2,1,,5,,,,1,"Valkanova, Dora R","Rahman, Maruf","Khatri, Hamida",,,
ATCM,2330,001,4,12,,5,1,,2,1,,,2,,2,,,,,"Martinez Ochoa, Angelica Miriam M",,,,,
